"","iliad.txt","odyssey.txt"
"""<U+FEFF>",1,0
"aba",1,0
"abandon",4,0
"abandond",6,0
"abant",2,0
"abantian",1,0
"abashd",2,0
"abat",2,0
"abba",1,0
"abet",1,0
"abhor",3,0
"abhorrd",5,0
"abid",5,0
"abion",2,0
"abject",1,0
"abjur",1,0
"abl",42,0
"ablerus",1,0
"ablest",2,0
"ablut",1,0
"aboard",1,0
"abod",50,0
"abomin",3,0
"abound",7,0
"aboutenough",1,0
"abridg",2,0
"abroad",8,0
"abrupt",1,0
"abruzzi",1,0
"absenc",31,0
"absencelong",1,0
"absent",12,0
"absolut",3,0
"absorb",1,0
"abstain",3,0
"abstemi",1,0
"absurd",10,0
"abund",13,0
"abus",5,0
"abydo",3,0
"abyss",4,0
"acama",8,0
"acastus",1,0
"accent",9,0
"accept",32,0
"access",27,0
"accid",2,0
"acciden",1,0
"accident",3,0
"acclaim",6,0
"acclam",3,0
"accommod",2,0
"accompani",12,0
"accomplish",14,0
"accord",40,0
"accost",4,0
"account",42,0
"accumul",2,0
"accur",4,0
"accurs",9,0
"accus",4,0
"accustom",3,0
"accustomd",1,0
"ach",2,0
"achaean",71,0
"achaia",2,0
"achaian",16,0
"achel",2,0
"acheron",1,0
"achiev",3,0
"achill",436,0
"achillei",1,0
"achilleid",1,0
"achilleisgrot",1,0
"achreoin",1,0
"acknowledg",6,0
"acorn",1,0
"acquaint",11,0
"acquiesc",2,0
"acquir",8,0
"acquisitiongrot",1,0
"acr",6,0
"acroneo",1,0
"across",13,0
"act",46,0
"actaea",1,0
"action",33,0
"actionth",1,0
"activ",26,0
"actor",7,0
"actual",12,0
"acumen",1,0
"acut",3,0
"acutenesswhich",1,0
"adam",3,0
"adama",1,0
"adamantin",4,0
"add",27,0
"addison",1,0
"addit",25,0
"address",20,0
"addressd",41,0
"adher",2,0
"adject",1,0
"adjoin",2,0
"adjournd",1,0
"adjudg",1,0
"adjur",5,0
"admetus",1,0
"admir",51,0
"admiss",2,0
"admit",16,0
"admitt",2,0
"admonishd",1,0
"adopt",9,0
"ador",15,0
"adord",1,0
"adorn",22,0
"adornd",12,0
"adourn",1,0
"adown",1,0
"adramyttium",1,0
"adrast",1,0
"adrastus",6,0
"adrestia",1,0
"adrestus",1,0
"adrift",1,0
"adult",1,0
"adulter",2,0
"adv",1,0
"advanc",40,0
"advantag",13,0
"adventur",13,0
"advers",13,0
"adversari",1,0
"advic",30,0
"advis",27,0
"advoc",1,0
"adz",2,0
"aeacid",2,0
"aeacus",2,0
"aeaean",6,0
"aecha",1,0
"aedeto",1,0
"aedio",1,0
"aeetesfor",1,0
"aega",4,0
"aegadean",2,0
"aegean",3,0
"aegeon",1,0
"aegi",8,0
"aegial",3,0
"aegialus",1,0
"aegilipa",1,0
"aegina",1,0
"aegion",1,0
"aegisbear",6,0
"aegisthus",28,0
"aegisthusand",1,0
"aegyptius",2,0
"aegyptus",3,0
"aegysthus",2,0
"aen",6,0
"aenea",65,0
"aenei",2,0
"aeneid",3,0
"aenius",1,0
"aenus",2,0
"aeolia",1,0
"aeolian",6,0
"aeolic",1,0
"aeolus",11,0
"aepai",1,0
"aepea",2,0
"aepi",1,0
"aepytus",1,0
"aera",3,0
"aerial",13,0
"aerian",1,0
"aeschylus",1,0
"aesculapius",4,0
"aesepus",4,0
"aeset",2,0
"aeson",1,0
"aesopus",1,0
"aesthet",1,0
"aesthomaen",1,0
"aesyet",1,0
"aesymnus",1,0
"aet",1,0
"aeth",2,0
"aethiopia",1,0
"aethiopian",1,0
"aethon",3,0
"aethra",1,0
"aetion",8,0
"aetolia",1,0
"aetolian",9,0
"afar",12,0
"affair",10,0
"affect",21,0
"affection",2,0
"affili",1,0
"affirm",1,0
"affix",1,0
"afflict",21,0
"afford",17,0
"affright",14,0
"affront",1,0
"afield",2,0
"aforetim",1,0
"afraid",19,0
"afresh",3,0
"africa",3,0
"african",1,0
"africanus",1,0
"aft",3,0
"aftereven",1,0
"afternoon",2,0
"afterthought",2,0
"afterthoughtad",1,0
"afterward",13,0
"agacleus",1,0
"againa",1,0
"againand",1,0
"agamed",1,0
"agamemnon",93,0
"agapenor",1,0
"agastrophus",1,0
"agastrophuss",1,0
"agathon",1,0
"agav",1,0
"age",168,0
"agegrot",1,0
"agelaus",10,0
"agem",2,0
"agenor",13,0
"agent",5,0
"ageth",1,0
"aggreg",2,0
"aggressor",1,0
"aggriev",2,0
"aghast",3,0
"agla",1,0
"aglow",1,0
"ago",10,0
"agon",2,0
"agoni",5,0
"agora",5,0
"agre",46,0
"agreeabl",5,0
"agreement",37,0
"agrius",1,0
"ahbend",1,0
"ahead",2,0
"aid",116,0
"aidbut",1,0
"ail",2,0
"aim",30,0
"aimd",8,0
"aimless",1,0
"air",122,0
"airi",12,0
"ajac",13,0
"ajax",172,0
"ala",45,0
"alalcomen",1,0
"alalcomenei",1,0
"alarm",48,0
"alarmd",7,0
"alast",1,0
"alastor",4,0
"albergo",1,0
"alberti",1,0
"alcaeus",1,0
"alcand",1,0
"alcandra",1,0
"alcath",5,0
"alcest",3,0
"alcid",12,0
"alcimedon",3,0
"alcimus",4,0
"alcin",65,0
"alcinor",1,0
"alcinouss",1,0
"alcinousth",1,0
"alcipp",1,0
"alcmaeon",1,0
"alcmaon",1,0
"alcmena",5,0
"alcyon",1,0
"alder",1,0
"aldermen",9,0
"alector",1,0
"aleian",2,0
"alex",2,0
"alexand",4,0
"alexandrian",1,0
"alexandrin",1,0
"alia",1,0
"alien",3,0
"alight",7,0
"alik",27,0
"alisium",2,0
"aliv",49,0
"alkin",1,0
"all",1,0
"alla",1,0
"allassistless",1,0
"allay",7,0
"allbehold",2,0
"allcompel",1,0
"allcompos",1,0
"allconfirm",1,0
"allconqu",2,0
"allconsci",1,0
"allconsid",2,0
"alldestroy",1,0
"alleg",1,0
"allegor",7,0
"allegori",1,0
"allegorist",2,0
"allenlighten",1,0
"allfor",1,0
"allgood",1,0
"alli",12,0
"allianc",2,0
"allimpair",1,0
"allimpot",1,0
"allinfold",1,0
"allinvolv",1,0
"allknow",1,0
"allmighti",2,0
"alloi",1,0
"allot",3,0
"allow",31,0
"allowd",6,0
"allpant",1,0
"allpow",1,0
"allrecord",1,0
"allrev",1,0
"allse",3,0
"allsurvey",1,0
"allsustain",1,0
"allud",4,0
"allur",2,0
"allus",9,0
"alluvi",1,0
"allwhich",1,0
"allwis",2,0
"almighti",27,0
"almost",31,0
"alo",1,0
"aloeus",1,0
"aloft",20,0
"aloi",2,0
"alon",129,0
"along",172,0
"alongsid",1,0
"aloof",2,0
"aloofstil",1,0
"alop",1,0
"aloud",29,0
"alphaeus",3,0
"alpheus",4,0
"alreadi",82,0
"alreadytalk",1,0
"also",199,0
"alt",1,0
"altar",33,0
"alter",10,0
"altern",16,0
"althaea",4,0
"although",15,0
"altogeth",4,0
"alway",74,0
"alyba",1,0
"alybean",1,0
"amain",2,0
"amalgam",1,0
"amarync",1,0
"amarynceus",1,0
"amass",1,0
"amatheia",1,0
"amaz",18,0
"amazon",3,0
"amazonsgrot",1,0
"ambassador",4,0
"amber",8,0
"ambient",4,0
"ambit",3,0
"ambiti",3,0
"ambo",1,0
"ambrosi",16,0
"ambrosia",11,0
"ambuscad",7,0
"ambush",10,0
"ambushd",1,0
"amend",2,0
"amiabl",2,0
"amid",36,0
"amidst",61,0
"amisodarus",2,0
"amiss",4,0
"ammon",2,0
"amnisus",1,0
"among",181,0
"amongst",11,0
"amor",2,0
"amorgus",2,0
"amount",5,0
"amphialus",2,0
"amphiaraus",2,0
"amphidama",1,0
"amphidus",1,0
"amphigenia",1,0
"amphiktyon",1,0
"amphikupellon",1,0
"amphilochus",1,0
"amphimachus",4,0
"amphimachuss",1,0
"amphimedon",6,0
"amphinom",1,0
"amphinomus",10,0
"amphinomuspenelop",1,0
"amphion",3,0
"amphithea",1,0
"amphitho",1,0
"amphitrit",4,0
"amphitryon",5,0
"amphius",3,0
"amphorawin",3,0
"amphoterus",1,0
"ampl",64,0
"ampler",3,0
"ampli",1,0
"amus",6,0
"amycla",1,0
"amydon",1,0
"amyntor",1,0
"amythaon",1,0
"anabesineus",1,0
"anachron",2,0
"anacreon",1,0
"analysi",2,0
"analysisour",1,0
"analyt",2,0
"analyz",1,0
"anatom",1,0
"anatomist",1,0
"ancaeus",2,0
"ancestor",7,0
"ancestorsor",1,0
"anchialus",4,0
"anchis",11,0
"anchor",4,0
"ancient",73,0
"ancl",1,0
"andraemon",3,0
"andrew",1,0
"andromach",16,0
"andtwentieth",1,0
"anecdot",1,0
"anemoria",1,0
"anew",6,0
"angel",3,0
"anger",33,0
"angl",2,0
"angler",1,0
"angri",61,0
"angrili",3,0
"anguish",27,0
"angusto",1,0
"anim",22,0
"animi",1,0
"animos",1,0
"ankl",5,0
"ann",2,0
"annot",1,0
"announc",2,0
"annoy",2,0
"annual",1,0
"anoint",21,0
"anoiston",1,0
"anomali",3,0
"anon",2,0
"anoth",163,0
"anotherbut",1,0
"anothercoleridg",1,0
"anotherdulichium",1,0
"anothereven",1,0
"answer",202,0
"answerd",4,0
"answersdost",1,0
"answerwhat",1,0
"ant",4,0
"antaea",1,0
"antagonist",3,0
"anted",2,0
"antenor",20,0
"anterior",1,0
"anthedon",1,0
"antheia",2,0
"anthon",2,0
"anthropoisin",1,0
"anticlea",1,0
"anticlus",2,0
"antigon",2,0
"antihistor",1,0
"antilochus",26,0
"antimachus",3,0
"antin",58,0
"antinouss",1,0
"antiop",1,0
"antipathi",1,0
"antiph",7,0
"antiphon",1,0
"antiphus",7,0
"antiqu",21,0
"antiqua",3,0
"antiquarian",1,0
"antler",1,0
"anton",1,0
"antron",1,0
"anvil",6,0
"anxieti",1,0
"anxious",17,0
"anybodi",2,0
"anybodywhich",1,0
"anyhow",1,0
"anyon",14,0
"anyth",46,0
"anywher",9,0
"aorist",1,0
"apac",1,0
"apaesus",2,0
"apart",30,0
"apaturian",1,0
"apeira",3,0
"apeiro",1,0
"aphareus",3,0
"apheida",1,0
"aphrastoteron",1,0
"apiec",1,0
"apisaon",2,0
"apo",1,0
"apocryph",1,0
"apollo",101,0
"apollodorus",1,0
"apollofor",1,0
"apollonius",1,0
"apolog",3,0
"apologu",1,0
"apotheosi",5,0
"appal",2,0
"appar",7,0
"apparit",1,0
"appeal",7,0
"appear",165,0
"appeard",21,0
"appeas",9,0
"appena",1,0
"append",2,0
"appendix",5,0
"appetit",1,0
"appl",6,0
"applaud",8,0
"applaus",11,0
"appli",20,0
"applic",8,0
"appoint",10,0
"appreci",3,0
"apprehend",1,0
"apprehens",2,0
"approach",59,0
"approachd",10,0
"appropri",6,0
"approv",35,0
"april",2,0
"apseud",1,0
"apt",3,0
"aptitud",1,0
"apul",2,0
"apuleius",2,0
"apulia",1,0
"apusato",1,0
"arabl",2,0
"araethyrea",1,0
"arbit",2,0
"arbitr",1,0
"arbitrari",2,0
"arcadian",2,0
"arceisius",4,0
"arceisiusbest",1,0
"arcesila",1,0
"arcesilaus",1,0
"arch",11,0
"archaic",1,0
"archbishop",1,0
"archd",1,0
"archdeacon",1,0
"archemorus",1,0
"archeptolemus",2,0
"archer",16,0
"archeri",3,0
"archetypus",1,0
"archilochus",5,0
"architect",4,0
"architecton",1,0
"archiv",26,0
"arctic",1,0
"ardent",12,0
"ardour",30,0
"arduous",2,0
"area",1,0
"aregreek",1,0
"areilycus",1,0
"areith",3,0
"aren",2,0
"aret",13,0
"aretaon",1,0
"arethey",1,0
"arethusa",1,0
"aretia",2,0
"aretus",4,0
"argissa",1,0
"argiv",51,0
"argo",45,0
"argosh",1,0
"argu",7,0
"argument",30,0
"argus",1,0
"ariadn",1,0
"aright",3,0
"arim",1,0
"aris",40,0
"arisb",3,0
"arisba",2,0
"arisen",2,0
"aristotel",1,0
"aristotl",3,0
"arktinus",2,0
"arm",625,0
"armament",1,0
"armbear",1,0
"armd",23,0
"armenti",1,0
"armi",95,0
"armida",1,0
"armipot",2,0
"armour",89,0
"armouri",1,0
"armourulyss",1,0
"arn",2,0
"arnaeus",1,0
"arnold",1,0
"aros",18,0
"around",186,0
"arrang",12,0
"array",28,0
"arrayd",2,0
"arrear",1,0
"arrest",7,0
"arrian",1,0
"arriv",25,0
"arrivd",1,0
"arriveth",1,0
"arrog",2,0
"arrow",92,0
"arrowsth",1,0
"arsin",1,0
"art",158,0
"artacia",1,0
"artemi",1,0
"articl",2,0
"articul",1,0
"artific",6,0
"artifici",2,0
"artilleri",1,0
"artisan",1,0
"artist",11,0
"artistgod",1,0
"aryba",1,0
"ascalaphus",5,0
"ascania",1,0
"ascanian",1,0
"ascanius",1,0
"ascend",41,0
"ascertain",2,0
"ascii",5,0
"ascrib",9,0
"ash",25,0
"asham",11,0
"ashen",2,0
"ashi",1,0
"ashor",7,0
"ashwood",1,0
"asi",2,0
"asia",6,0
"asian",2,0
"asiat",1,0
"asid",22,0
"asinelli",3,0
"asinen",1,0
"asius",18,0
"ask",130,0
"askd",9,0
"askingi",1,0
"asklepiad",1,0
